Unnamed: 0,age,Experience,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary,Designation,JobCity
0,25,3,f,84.3,ssc,2007,95.8,ssc,2,B.Tech/B.E.,computer engineering,78.0,0,Andhra Pradesh,2011,515,585,525,0.635978756456794,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,420000,senior quality engineer,Bangalore
1,26,2,m,85.4,cbse,2007,85.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,70.06,0,Madhya Pradesh,2012,695,610,780,0.960603251997053,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,500000,assistant manager,Indore
2,23,1,f,85.0,cbse,2010,68.2,cbse,2,B.Tech/B.E.,information technology,70.0,0,Uttar Pradesh,2014,615,545,370,0.450876584483451,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,325000,systems engineer,Chennai
3,26,4,m,85.6,cbse,2007,83.6,cbse,1,B.Tech/B.E.,computer engineering,74.64,1,Delhi,2011,635,585,625,0.974396112538398,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,1100000,senior software engineer,Gurgaon
4,24,1,m,78.0,cbse,2008,76.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,73.9,0,Uttar Pradesh,2012,545,625,465,0.124502074009537,0,233,0,0,0,0,0,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,200000,get,Manesar
5,23,1,m,89.92,ssc,2010,87.0,ssc,2,B.Tech/B.E.,electronics and communication engineering,76.32,0,Karnataka,2014,560,555,620,-1.0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,300000,system engineer,Hyderabad
6,22,1,m,86.08,ssc,2010,67.5,ssc,2,B.Tech/B.E.,computer science & engineering,72.98,1,Karnataka,2014,590,435,380,0.356536487724475,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,300000,java software engineer,Banglore
7,23,1,m,92.0,cbse,2010,91.0,cbse,1,B.Tech/B.E.,mechanical engineering,8.58,0,Tamil Nadu,2016,545,555,590,0.829584599793067,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,400000,mechanical engineer,Bangalore
8,24,2,m,90.0,cbse,2009,91.2,cbse,1,B.Tech/B.E.,electronics and electrical engineering,85.03,1,Delhi,2013,615,670,530,0.694479327708463,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,600000,electrical engineer,Noida
9,22,1,m,77.0,cbse,2010,72.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,78.0,1,West Bengal,2014,605,565,545,0.493596387301038,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,230000,project engineer,Kolkata
10,26,4,m,88.6,ssc,2006,83.7,ssc,2,B.Tech/B.E.,computer engineering,74.9,0,Madhya Pradesh,2010,565,455,565,0.765673581234011,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,600000,senior php developer,Bangalore
11,25,3,m,81.0,cbse,2007,86.0,cbse,1,B.Tech/B.E.,information technology,72.29,0,Madhya Pradesh,2011,495,605,715,0.968237495890543,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,450000,senior systems engineer,Pune
12,25,2,m,83.6,ssc,2008,69.83,ssc,2,B.Tech/B.E.,electronics & telecommunications,60.0,0,Maharashtra,2013,380,580,470,0.229481754911755,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,270000,quality assurance engineer,Pune
13,25,1,m,60.8,cbse,2008,62.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,60.0,0,Haryana,2012,495,425,645,0.538386892985096,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,200000,qa analyst,Gurgaon
14,23,2,m,81.2,ssc,2008,79.9,ssc,2,B.Tech/B.E.,instrumentation and control engineering,67.67,0,Uttar Pradesh,2013,395,565,645,-1.0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,300000,java software engineer,Bangalore
15,25,2,f,69.54,icse,2008,64.43,ssc,2,B.Tech/B.E.,information technology,63.0,0,Uttar Pradesh,2012,485,520,355,0.308400582860308,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,350000,network engineer,unknown
16,23,1,m,85.8,cbse,2010,74.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,64.8,0,Uttar Pradesh,2014,685,530,620,-1.0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,325000,product development engineer,Noida
17,28,1,m,60.8,cbse,2006,66.66,cbse,2,MCA,computer application,74.74,1,Delhi,2013,465,585,515,0.911395278391328,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,250000,associate software developer,Gurgaon
18,23,0,m,65.0,ssc,2008,64.8,icse,2,B.Tech/B.E.,computer science & engineering,69.54,0,Uttar Pradesh,2013,465,495,515,0.563267823666597,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,120000,data entry operator,Gurgaon
19,25,1,f,79.0,cbse,2008,62.2,cbse,2,B.Tech/B.E.,computer engineering,76.3,0,Uttar Pradesh,2012,485,445,435,0.864685413370085,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,325000,software engineer,Pune
